time,volume,outflow_rate,liquid.A,liquid.B,derived.reaction_rate_0,sim_time
0.0,1.0,0.2,8.6355,0.4545,0.909,0.0
0.5,1.0,0.2,7.468852500000001,0.8021475,0.7861950000000001,0.5
1.0,1.0,0.2,6.471368887500001,1.0625311125,0.6811967250000001,1.0
1.5,1.0,0.2,5.6185203988125,1.2519896011875,0.591423199875,1.5
2.0,1.0,0.2,4.8893349409846865,1.3841240590153125,0.5146668358931249,2.0
2.5,1.0,0.2,4.265881374541906,1.470231725458092,0.44904014468862175,2.5
3.0,1.0,0.2,3.7328285752333294,1.5196732147666685,0.39292932370877154,3.0
3.5,1.0,0.2,3.2770684318244965,1.5401831791755014,0.34495457177099964,3.5
4.0,1.0,0.2,2.8873935092099443,1.5381329406900535,0.30393615886420466,4.0
4.5,1.0,0.2,2.5542214503745027,1.5187523545354957,0.268865415828895,4.5
5.0,1.0,0.2,2.2693593400702,1.4863170843487987,0.23887993053370526,5.0
5.5,1.0,0.2,2.025802235760021,1.4443065462170779,0.21324234060631803,5.5
6.0,1.0,0.2,1.817560911574818,1.395536992204571,0.1913222012184019,6.0
6.5,1.0,0.2,1.6395145793964694,1.3422735340049807,0.17258048204173362,6.5
7.0,1.0,0.2,1.4872849653839813,1.2863243366773238,0.15655631214568225,7.0
7.5,1.0,0.2,1.357128645403304,1.2291197264518705,0.14285564688455832,7.5
8.0,1.0,0.2,1.2458449918198249,1.1717785428498322,0.13114157808629737,8.0
8.5,1.0,0.2,1.1506974680059503,1.1151637131967411,0.12112604926378426,8.5
9.0,1.0,0.2,1.0693463351450876,1.0599287279373348,0.11256277212053555,9.0
9.5,1.0,0.2,0.9997911165490501,1.0065564402251304,0.1052411701630579,9.5
10.0,1.0,0.2,0.9403214046494378,0.9553913964473246,0.09898120048941451,10.0
10.5,1.0,0.2,0.8894748009752693,0.9066667200118168,0.0936289264184494,10.5
11.0,1.0,0.2,0.8460009548338552,0.8605264140545222,0.08905273208777424,11.0
11.5,1.0,0.2,0.8088308163829461,0.8170438156165936,0.08514008593504696,11.5
12.0,1.0,0.2,0.7770503480074189,0.7762368207921667,0.08179477347446515,12.0
12.5,1.0,0.2,0.7498780475463431,0.7380804043732839,0.0789345313206677,12.5
13.0,1.0,0.2,0.7266457306521233,0.702516876075541,0.07648902427917088,13.0
13.5,1.0,0.2,0.7067820997075654,0.6694642463473325,0.0743981157586911,13.5
14.0,1.0,0.2,0.6897986952499684,0.6388230161994397,0.07261038897368088,14.0
14.5,1.0,0.2,0.6752778844387229,0.6104816558657443,0.07108188257249716,14.5
15.0,1.0,0.2,0.662862591195108,0.5843209950789124,0.06977500959948506,15.0
15.5,1.0,0.2,0.6522475154718174,0.5602177121748011,0.06865763320755973,15.5
16.0,1.0,0.2,0.6431716257284038,0.5380470791535528,0.06770227639246355,16.0
16.5,1.0,0.2,0.6354117399977852,0.5176850943959757,0.06688544631555635,16.5
17.0,1.0,0.2,0.6287770376981063,0.4990101132562784,0.06618705659980066,17.0
17.5,1.0,0.2,0.6231043672318809,0.48190406862706536,0.06558993339282958,17.5
18.0,1.0,0.2,0.6182542339832582,0.4662533582897935,0.06507939305086928,18.0
18.5,1.0,0.2,0.6141073700556857,0.4519494629900607,0.06464288105849324,18.5
19.0,1.0,0.2,0.6105618013976113,0.4388893483435605,0.06426966330501171,19.0
19.5,1.0,0.2,0.6075303401949577,0.42697569457209694,0.06395056212578502,19.5
